epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
67,401.1518,404.4612,404.1954,401.6527,405.4021,404.7433,405.2263,403.9836,405.0931,406.8008,408.3588,406.1058,406.0231,404.2744,407.3776,407.4768,406.7327,407.7452,407.9201,395.5923,391.5974,391.212,390.9655,391.6299,391.5987,391.1276,391.3313,391.1603,392.3936,391.2488,414.2063,408.0685
68,407.1397,410.388,410.2309,407.7549,411.3941,410.7097,411.2349,410.0811,411.2386,412.9103,414.405,412.1304,412.1854,410.3029,413.5935,413.6712,412.7424,413.9405,413.9397,401.5339,397.3824,397.0447,396.8134,397.507,397.3508,397.0648,397.0736,397.1663,398.1248,397.175,420.2099,414.0313
69,413.1146,416.4102,416.2596,413.6582,417.5004,416.8071,417.2161,416.0419,417.2397,418.8642,420.6205,418.2206,418.1471,416.2968,419.7777,419.6634,418.8885,419.942,420.0685,407.3181,403.3177,402.7929,402.684,403.2609,403.274,402.8106,403.0266,402.9253,404.0277,402.9284,426.3793,420.1847
70,419.0991,422.436,422.2369,419.7724,423.4326,422.7577,423.2593,422.0369,423.4171,425.0328,426.604,424.2013,424.2665,422.4324,425.7515,425.8633,424.9442,426.099,426.1434,413.2882,409.072,408.7725,408.4388,409.2025,409.043,408.7704,408.7705,408.8892,409.7694,408.8502,432.3677,426.1512
71,425.0699,428.3882,428.3154,425.7078,429.5679,428.8274,429.1793,428.0567,429.3939,430.9849,432.7274,430.3874,430.2342,428.3972,431.9447,431.8479,430.9888,432.128,432.1795,419.0299,415.0339,414.5295,414.4087,414.9581,414.9783,414.5086,414.6632,414.6416,415.6366,414.6259,438.5629,432.334
72,431.0553,434.4578,434.2811,431.8912,435.5195,434.7788,435.2787,434.009,435.5343,437.1243,438.7702,436.3388,436.3874,434.5414,437.9309,438.033,437.062,438.2172,438.3287,425.0109,420.7762,420.4851,420.1483,420.9076,420.7466,420.3907,420.4844,420.4643,421.4815,420.4668,444.5597,438.308
73,437.0244,440.3876,440.4416,437.7992,441.6644,440.7818,441.24,440.0626,441.4963,443.0889,444.8189,442.5155,442.3917,440.5482,444.114,444.0497,443.0376,444.327,444.3415,430.7502,426.7206,426.2338,426.1056,426.643,426.6062,426.2505,426.2647,426.328,427.2819,426.3425,450.7252,444.3985
74,443.0192,446.5143,446.3614,443.8769,447.6504,446.8486,447.3852,445.9365,447.6793,449.1981,450.9609,448.4816,448.4647,446.7813,450.172,450.1579,449.2044,450.3487,450.5473,436.5978,432.5119,432.1345,431.8511,432.5236,432.429,432.0303,432.2034,432.0776,433.2007,432.0991,456.794,450.5729
75,448.9889,452.4544,452.5151,449.8442,453.7339,452.773,453.2918,452.0215,453.6412,455.164,456.9593,454.6437,454.5122,452.7215,456.2505,456.254,455.154,456.5203,456.5448,442.4812,438.3435,437.9787,437.7006,438.3457,438.2287,437.9784,437.9444,438.0145,439.0017,438.068,462.8166,456.7539
76,454.9753,458.5719,458.4636,455.8322,459.7196,458.8671,459.4009,457.9571,459.7366,461.2616,463.1516,460.6261,460.5198,458.8503,462.3552,462.2642,461.3074,462.4981,462.7543,448.2314,444.2332,443.7545,443.5484,444.1456,444.15,443.7323,443.9251,443.7589,444.9474,443.7923,468.9635,462.9151
